$1000 Damage to Any One Person's Property,Bridge Detail,Construction Zone Flag,Construction Zone Workers Present Flag,Crash Time,Day of Week,Highway System,Intersecting Highway Number,Intersecting Street Name,Manner of Collision,Median Type,Median Width,Number of Entering Roads,Number of Lanes,Surface Condition,Surface Type,Surface Width,Weather Condition,Crash Severity
Yes,NOT APPLICABLE,No,No,1522,MONDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,1627,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,1155,TUESDAY,STATE SPUR,35,IH0035E,ANGLE - ONE STRAIGHT-ONE RIGHT TURN,No Data,40,4 - FOUR ENTERING ROADS,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,905,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,3 - THREE ENTERING ROADS - Y,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1520,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1435,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,730,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,2120,SUNDAY,STATE SPUR,35,IH0035E,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,No Data,40,2 - THREE ENTERING ROADS - T,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1225,FRIDAY,STATE SPUR,345,IH0345,ANGLE - BOTH GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,Yes,No,50,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1714,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,No Data,97 - NOT APPLICABLE,No Data,2 - WET,No Data,No Data,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,30,TUESDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2253,WEDNESDAY,STATE SPUR,35,IH0035E,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,UNPROTECTED,40,2 - THREE ENTERING ROADS - T,6,2 - WET,No Data,72,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,120,SUNDAY,STATE SPUR,No Data,ST PAUL ST,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,No Data,2 - THREE ENTERING ROADS - T,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1516,WEDNESDAY,STATE SPUR,35,IH0035E,ONE MOTOR VEHICLE - TURNING LEFT,No Data,40,98 - OTHER (EXPLAIN IN NARRATIVE),8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1550,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
No,NOT APPLICABLE,No,No,2244,FRIDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,98 - OTHER (EXPLAIN IN NARRATIVE),8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,950,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,542,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1010,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,Yes,Yes,1330,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,CRASH INVOLVED UNDERPASS,No,No,1436,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1645,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,137,THURSDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Serious
Yes,NOT APPLICABLE,No,No,1438,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,610,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,250,FRIDAY,STATE SPUR,35,IH0035E,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,3 - THREE ENTERING ROADS - Y,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,CRASH INVOLVED UNDERPASS,No,No,1212,WEDNESDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,535,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1535,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,1720,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1900,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1650,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1505,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1345,MONDAY,STATE SPUR,35,IH0035E,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,600,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,6,2 - WET,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1355,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,730,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,38,SUNDAY,STATE SPUR,35,IH0035E,ANGLE - BOTH GOING STRAIGHT,No Data,40,98 - OTHER (EXPLAIN IN NARRATIVE),8,1 - DRY,No Data,96,1 - CLEAR,Not serious
No,NOT APPLICABLE,No,No,1845,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1635,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,Yes,No,1640,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,1355,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1229,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2200,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,250,SATURDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1553,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,735,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,No Data,97 - NOT APPLICABLE,No Data,2 - WET,No Data,No Data,3 - RAIN,Not serious
Yes,NOT APPLICABLE,No,No,651,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1650,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1630,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1750,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,UNPROTECTED,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,Yes,Yes,1739,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,615,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,4 - FOUR ENTERING ROADS,6,2 - WET,No Data,72,3 - RAIN,Not serious
Yes,NOT APPLICABLE,No,No,1215,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,98 - OTHER (EXPLAIN IN NARRATIVE),8,1 - DRY,No Data,96,1 - CLEAR,Not serious
No,NOT APPLICABLE,No,No,1718,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2251,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,Yes,No,1857,TUESDAY,STATE SPUR,345,IH0345,ANGLE - BOTH GOING STRAIGHT,No Data,40,98 - OTHER (EXPLAIN IN NARRATIVE),8,1 - DRY,No Data,96,1 - CLEAR,Serious
Yes,NOT APPLICABLE,No,No,1804,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1826,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,1446,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,2 - THREE ENTERING ROADS - T,8,2 - WET,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,252,SATURDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,6,3 - STANDING WATER,No Data,72,1 - CLEAR,Not serious
No,NOT APPLICABLE,No,No,1730,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1554,MONDAY,STATE SPUR,No Data,N FIELD ST,SAME DIRECTION - ONE STRAIGHT-ONE RIGHT TURN,No Data,No Data,4 - FOUR ENTERING ROADS,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,Yes,No,1604,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,950,MONDAY,STATE SPUR,345,IH0345,ANGLE - BOTH GOING STRAIGHT,No Data,40,4 - FOUR ENTERING ROADS,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1800,SATURDAY,STATE SPUR,No Data,OLIVE ST,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2330,SATURDAY,STATE SPUR,345,IH0345,ANGLE - BOTH GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,740,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1540,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,1614,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1159,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1250,TUESDAY,STATE SPUR,345,IH0345,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1847,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,UNPROTECTED,40,2 - THREE ENTERING ROADS - T,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2030,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,505,THURSDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,640,WEDNESDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,2 - WET,No Data,96,3 - RAIN,Not serious
Yes,NOT APPLICABLE,No,No,2255,THURSDAY,STATE SPUR,35,IH0035E,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,No Data,40,4 - FOUR ENTERING ROADS,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2345,THURSDAY,STATE SPUR,35,IH0035E,ANGLE - BOTH GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1145,WEDNESDAY,STATE SPUR,35,IH0035E,ANGLE - ONE STRAIGHT-ONE RIGHT TURN,No Data,40,3 - THREE ENTERING ROADS - Y,6,1 - DRY,No Data,72,2 - CLOUDY,Not serious
No,NOT APPLICABLE,No,No,953,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1400,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2044,SATURDAY,STATE SPUR,345,IH0345,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,225,THURSDAY,STATE SPUR,345,IH0345,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,No Data,40,4 - FOUR ENTERING ROADS,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1922,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1330,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,98 - OTHER (EXPLAIN IN NARRATIVE),8,1 - DRY,No Data,96,1 - CLEAR,Not serious
No,NOT APPLICABLE,No,No,1140,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,2 - WET,No Data,96,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,934,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,745,FRIDAY,STATE SPUR,35,IH0035E,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,210,TUESDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,150,SATURDAY,STATE SPUR,35,IH0035E,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
No,NOT APPLICABLE,No,No,846,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
No,NOT APPLICABLE,No,No,2130,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,255,SATURDAY,STATE SPUR,345,IH0345,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,2 - CLOUDY,Not serious
No,NOT APPLICABLE,No,No,1210,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,Yes,No,1035,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,No Data,4 - FOUR ENTERING ROADS,No Data,3 - STANDING WATER,No Data,No Data,3 - RAIN,Not serious
Yes,NOT APPLICABLE,Yes,Yes,2200,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1050,WEDNESDAY,STATE SPUR,345,IH0345,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,32,FRIDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1440,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Serious
Yes,NOT APPLICABLE,No,No,840,MONDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2110,FRIDAY,STATE SPUR,35,IH0035E,SAME DIRECTION - BOTH RIGHT TURN,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,528,THURSDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,No Data,97 - NOT APPLICABLE,No Data,2 - WET,No Data,No Data,3 - RAIN,Not serious
Yes,NOT APPLICABLE,No,No,1415,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2015,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1541,WEDNESDAY,STATE SPUR,345,IH0345,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
No,NOT APPLICABLE,No,No,1030,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,Yes,Yes,820,MONDAY,STATE SPUR,35,IH0035E,SAME DIRECTION - ONE STRAIGHT-ONE LEFT TURN,No Data,40,4 - FOUR ENTERING ROADS,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2050,SUNDAY,STATE SPUR,345,IH0345,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2305,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1502,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
